label,seed,model,split,training_samples,parameters,train_seconds,mse,rmse,mae,relative_l2,circular_rmse_deg,circular_mae_deg,inference_time_per_sample_sec,rmse_improvement_percent
Euler-1 reduced-data benchmark,12345,persistence,train,0,0,0.0,0.08478388357046457,0.29117672223319047,0.07891331203372519,0.4550806049924772,32.313601026281944,9.474315691130135,0.0005059413206276377,
Euler-1 reduced-data benchmark,12345,persistence,valid,0,0,0.0,0.09387680830863807,0.3063932249718294,0.08628993997207055,0.4831208252338835,33.66251810062672,10.230957433235025,0.00020405342086003377,
Euler-1 reduced-data benchmark,12345,persistence,test,0,0,0.0,0.0885359146378257,0.29754985235725745,0.08205498240210793,0.46488261723569174,32.85867909122278,9.800811430115186,0.00018524405631152068,0.0
Euler-1 reduced-data benchmark,12345,resnet_cnn,train,411,85313,944.6371982619166,0.028479116966544565,0.16875756862003127,0.06998971800734527,0.2637514975252043,26.700638582353626,12.015373843367236,0.004830387474203124,
Euler-1 reduced-data benchmark,12345,resnet_cnn,valid,411,85313,944.6371982619166,0.03250706768952883,0.18029716495144574,0.07329780608415604,0.2842925626918832,27.643759840572372,12.390684527459317,0.004869046979225599,
Euler-1 reduced-data benchmark,12345,resnet_cnn,test,411,85313,944.6371982619166,0.03167316832325675,0.17796957134088048,0.07178524840961803,0.2780541124716331,27.526378602971416,12.17548627312618,0.004915207937698472,40.188318047895116
Euler-1 reduced-data benchmark,12345,fno,train,411,593345,461.52096520503983,0.02394525875357816,0.1547425563753493,0.06694975828892413,0.2418474107679579,25.17266560429263,11.656058522089701,0.006349222047975028,
Euler-1 reduced-data benchmark,12345,fno,valid,411,593345,461.52096520503983,0.03207182282438645,0.1790860765787962,0.07328028575732158,0.2823829185929335,26.985798913752504,12.326857460463883,0.006224576831580355,
Euler-1 reduced-data benchmark,12345,fno,test,411,593345,461.52096520503983,0.03130913566459309,0.1769438771605084,0.07351785844022578,0.2764515998463461,27.307953828551998,12.486848642668216,0.006107641113075343,40.533031437011694
Euler-1 reduced-data benchmark,23456,persistence,train,0,0,0.0,0.08478388335292937,0.29117672185964555,0.07891331196121346,0.45508060344140766,32.31360084211647,9.474315599728577,0.00018740192490772608,
