model,split,parameters,epochs,train_seconds,mse,rmse,mae,relative_l2,circular_rmse_deg
persistence,train,0,0,0.000,0.083381937,0.28875931,0.077445907,0.4510225,31.975662
persistence,valid,0,0,0.000,0.10180111,0.31906286,0.094158847,0.50279904,35.329686
persistence,test,0,0,0.000,0.072596387,0.26943717,0.069949166,0.4264724,30.747126
linear_pointwise,train,7,2,0.441,0.44732963,0.66882705,0.59300673,1.0446626,115.29893
linear_pointwise,valid,7,2,0.441,0.43906463,0.66261952,0.58614656,1.0441969,114.27157
linear_pointwise,test,7,2,0.441,0.43265875,0.657768,0.580853,1.0411329,113.56201
tiny_cnn,train,3345,2,19.505,0.069010488,0.26269847,0.14730746,0.41031724,40.429164
tiny_cnn,valid,3345,2,19.505,0.079365116,0.28171815,0.15691843,0.44394893,42.530865
tiny_cnn,test,3345,2,19.505,0.060856822,0.24669175,0.14296278,0.39047035,39.577366
fno,train,2068929,2,95.260,0.047493467,0.21792996,0.1146725,0.34039185,34.502567
fno,valid,2068929,2,95.260,0.053727006,0.23179087,0.11990639,0.36527042,36.099407
fno,test,2068929,2,95.260,0.038999158,0.19748204,0.10560598,0.31257989,32.636992
